"filename", "language", "Markdown", "HTML", "JavaScript", "YAML", "JSON", "XML", "TypeScript", "MS SQL", "Python", "TypeScript JSX", "PostCSS", "JSON with Comments", "comment", "blank", "total"
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260531000005_user_listing_actions.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 65, 21, 273
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260601000000_fix_onboarding_status_guc.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 42, 13, 140
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260602000001_listing_stats_distinct_clicks.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 18, 3, 59
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260602000002_purge_rejected_listings.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 24, 8, 82
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260602000003_validate_profile_name_chars.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 29, 11, 130
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260602000004_cap_url_lengths.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 33, 7, 70
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260603000001_role_lock_and_grad_year_bounds.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 0, 57, 25, 299
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260603000002_event_society_flag.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 38, 14, 182
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260608000001_lock_internal_function_grants.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 67, 7, 129
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260608000002_capture_and_lock_rls_auto_enable.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 28, 3, 61
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260610000000_admin_create_require_profile.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 28, 17, 218
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260826000001_user_update_event_and_vc_rpcs.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 41, 10, 152
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260826000002_directory_card_rpc.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 27, 3, 72
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260826000003_directory_pagination.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 68, 9, 259
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260826000004_admin_profile_pagination.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 229, 0, 0, 0, 0, 59, 12, 300
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260827000001_revoke_anon_admin_rpcs.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 43, 4, 80
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260827000002_index_cascade_fks.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 49, 6, 65
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260827000003_bound_listing_events.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 49, 6, 91
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/templates/change_email.html", "HTML", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 1, 97
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/templates/confirm_signup.html", "HTML", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 52
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/templates/magic_link.html", "HTML", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 51
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/templates/reset_password.html", "HTML", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 1, 64
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/tests/rls_smoke.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 973, 0, 0, 0, 0, 240, 98, 1311
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/tests/verify_prod_schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 36, 14, 181
"Total", "-", 765, 199, 99, 5644, 48, 5, 7312, 6241, 5, 10789, 98, 34, 5082, 4816, 41137
